Current learning rate: 0.1
Epoch: [3][ 20/383]	Loss 0.2208 (0.2167)	Accuracy 42.969 (44.122)
Epoch: [3][ 30/383]	Loss 0.2045 (0.2128)	Accuracy 42.188 (45.086)
Epoch: [3][ 40/383]	Loss 0.2114 (0.2109)	Accuracy 48.438 (45.465)
Epoch: [3][ 50/383]	Loss 0.2191 (0.2106)	Accuracy 42.188 (45.358)
Epoch: [3][ 60/383]	Loss 0.1865 (0.2105)	Accuracy 50.781 (45.120)
Epoch: [3][ 70/383]	Loss 0.1939 (0.2111)	Accuracy 48.438 (44.751)
Epoch: [3][ 80/383]	Loss 0.2028 (0.2111)	Accuracy 43.750 (44.560)
Epoch: [3][ 90/383]	Loss 0.2048 (0.2108)	Accuracy 41.406 (44.402)
Epoch: [3][100/383]	Loss 0.2028 (0.2113)	Accuracy 43.750 (44.353)
Epoch: [3][110/383]	Loss 0.1972 (0.2108)	Accuracy 45.312 (44.419)
Epoch: [3][120/383]	Loss 0.2077 (0.2108)	Accuracy 41.406 (44.247)
Epoch: [3][130/383]	Loss 0.2135 (0.2112)	Accuracy 43.750 (44.048)
Epoch: [3][140/383]	Loss 0.2084 (0.2114)	Accuracy 44.531 (44.077)
Epoch: [3][150/383]	Loss 0.2343 (0.2118)	Accuracy 34.375 (43.988)
Epoch: [3][160/383]	Loss 0.2170 (0.2125)	Accuracy 39.844 (43.799)
Epoch: [3][170/383]	Loss 0.2208 (0.2131)	Accuracy 43.750 (43.604)
Epoch: [3][180/383]	Loss 0.2122 (0.2135)	Accuracy 43.750 (43.547)
Epoch: [3][190/383]	Loss 0.2364 (0.2142)	Accuracy 39.844 (43.361)
Epoch: [3][200/383]	Loss 0.1963 (0.2141)	Accuracy 49.219 (43.373)
Epoch: [3][210/383]	Loss 0.2358 (0.2146)	Accuracy 38.281 (43.350)
Epoch: [3][220/383]	Loss 0.2337 (0.2147)	Accuracy 35.156 (43.283)
Epoch: [3][230/383]	Loss 0.2071 (0.2145)	Accuracy 44.531 (43.439)
Epoch: [3][240/383]	Loss 0.2506 (0.2150)	Accuracy 35.156 (43.351)
Epoch: [3][250/383]	Loss 0.2252 (0.2153)	Accuracy 41.406 (43.308)
Epoch: [3][260/383]	Loss 0.1948 (0.2151)	Accuracy 46.094 (43.298)
Epoch: [3][270/383]	Loss 0.2185 (0.2151)	Accuracy 37.500 (43.320)
Epoch: [3][280/383]	Loss 0.2354 (0.2149)	Accuracy 39.844 (43.300)
Epoch: [3][290/383]	Loss 0.1947 (0.2146)	Accuracy 50.000 (43.361)
Epoch: [3][300/383]	Loss 0.2021 (0.2145)	Accuracy 42.188 (43.381)
Epoch: [3][310/383]	Loss 0.2079 (0.2144)	Accuracy 42.188 (43.391)
Epoch: [3][320/383]	Loss 0.1982 (0.2142)	Accuracy 43.750 (43.412)
Epoch: [3][330/383]	Loss 0.2034 (0.2142)	Accuracy 43.750 (43.405)
Epoch: [3][340/383]	Loss 0.2259 (0.2142)	Accuracy 42.969 (43.395)
Epoch: [3][350/383]	Loss 0.2225 (0.2141)	Accuracy 40.625 (43.405)
Epoch: [3][360/383]	Loss 0.2036 (0.2140)	Accuracy 45.312 (43.454)
Epoch: [3][370/383]	Loss 0.2041 (0.2139)	Accuracy 46.875 (43.459)
Epoch: [3][380/383]	Loss 0.2084 (0.2137)	Accuracy 42.969 (43.467)
Test: [  0/164]	Loss 1.6197 (1.6197)	Accuracy 31.250 (31.250)
Test: [ 10/164]	Loss 1.2069 (1.4974)	Accuracy 49.219 (36.790)
Test: [ 20/164]	Loss 2.0048 (1.5385)	Accuracy 15.625 (36.049)
Test: [ 30/164]	Loss 1.1096 (1.5129)	Accuracy 60.938 (39.819)
Test: [ 40/164]	Loss 1.0714 (1.3919)	Accuracy 66.406 (46.380)
Test: [ 50/164]	Loss 1.3858 (1.3469)	Accuracy 50.781 (48.836)
Test: [ 60/164]	Loss 1.6356 (1.3375)	Accuracy 35.938 (49.731)
Test: [ 70/164]	Loss 1.6501 (1.3544)	Accuracy 37.500 (49.329)
Test: [ 80/164]	Loss 3.0000 (1.4338)	Accuracy  3.906 (46.113)
Test: [ 90/164]	Loss 2.0867 (1.5470)	Accuracy 20.312 (42.050)
Test: [100/164]	Loss 1.2388 (1.5662)	Accuracy 50.781 (41.453)
Test: [110/164]	Loss 1.3271 (1.5405)	Accuracy 50.000 (42.729)
Test: [120/164]	Loss 0.9005 (1.5011)	Accuracy 71.875 (44.538)
Test: [130/164]	Loss 0.7586 (1.4551)	Accuracy 79.688 (46.786)
Test: [140/164]	Loss 1.2670 (1.4208)	Accuracy 57.031 (48.498)
Test: [150/164]	Loss 1.0553 (1.4197)	Accuracy 64.844 (48.220)
Test: [160/164]	Loss 1.8698 (1.4407)	Accuracy 17.969 (46.919)
 * Accuracy 46.557
Current best accuracy: 46.55739212036133
128.72561144828796
Current learning rate: 0.1
Epoch: [4][  0/383]	Loss 0.2014 (0.2014)	Accuracy 47.656 (47.656)
Epoch: [4][ 10/383]	Loss 0.2103 (0.2069)	Accuracy 46.094 (43.466)
Epoch: [4][ 20/383]	Loss 0.2024 (0.2112)	Accuracy 47.656 (42.857)
Epoch: [4][ 30/383]	Loss 0.2158 (0.2094)	Accuracy 39.844 (43.952)
Epoch: [4][ 40/383]	Loss 0.2258 (0.2076)	Accuracy 41.406 (44.627)
Epoch: [4][ 50/383]	Loss 0.2093 (0.2069)	Accuracy 44.531 (45.067)
Epoch: [4][ 60/383]	Loss 0.2163 (0.2066)	Accuracy 43.750 (45.236)
Epoch: [4][ 70/383]	Loss 0.2256 (0.2066)	Accuracy 42.969 (45.202)
Epoch: [4][ 80/383]	Loss 0.2112 (0.2064)	Accuracy 46.875 (45.274)
Epoch: [4][ 90/383]	Loss 0.1897 (0.2062)	Accuracy 53.906 (45.278)
Epoch: [4][100/383]	Loss 0.1851 (0.2056)	Accuracy 53.125 (45.498)
Epoch: [4][110/383]	Loss 0.2019 (0.2054)	Accuracy 42.188 (45.587)
Epoch: [4][120/383]	Loss 0.2068 (0.2053)	Accuracy 44.531 (45.655)
Epoch: [4][130/383]	Loss 0.2159 (0.2048)	Accuracy 42.969 (45.849)
Epoch: [4][140/383]	Loss 0.2045 (0.2046)	Accuracy 46.875 (45.872)
Epoch: [4][150/383]	Loss 0.1985 (0.2040)	Accuracy 43.750 (45.887)
Epoch: [4][160/383]	Loss 0.2082 (0.2042)	Accuracy 50.000 (45.919)
Epoch: [4][170/383]	Loss 0.1945 (0.2042)	Accuracy 53.125 (45.938)
Epoch: [4][180/383]	Loss 0.1887 (0.2045)	Accuracy 50.000 (45.908)
Epoch: [4][190/383]	Loss 0.2110 (0.2051)	Accuracy 46.094 (45.734)
Epoch: [4][200/383]	Loss 0.2121 (0.2052)	Accuracy 39.844 (45.662)
Epoch: [4][210/383]	Loss 0.2222 (0.2052)	Accuracy 39.844 (45.661)
Epoch: [4][220/383]	Loss 0.2077 (0.2051)	Accuracy 48.438 (45.740)
Epoch: [4][230/383]	Loss 0.2212 (0.2048)	Accuracy 42.969 (45.810)
Epoch: [4][240/383]	Loss 0.1931 (0.2043)	Accuracy 50.781 (45.948)
Epoch: [4][250/383]	Loss 0.2042 (0.2045)	Accuracy 46.094 (45.901)
Epoch: [4][260/383]	Loss 0.1819 (0.2045)	Accuracy 55.469 (45.935)
Epoch: [4][270/383]	Loss 0.1975 (0.2045)	Accuracy 43.750 (45.929)
Epoch: [4][280/383]	Loss 0.2083 (0.2045)	Accuracy 42.969 (45.894)
Epoch: [4][290/383]	Loss 0.1993 (0.2046)	Accuracy 46.875 (45.973)
Epoch: [4][300/383]	Loss 0.1940 (0.2045)	Accuracy 48.438 (46.000)
Epoch: [4][310/383]	Loss 0.2018 (0.2044)	Accuracy 49.219 (46.074)
Epoch: [4][320/383]	Loss 0.1900 (0.2044)	Accuracy 52.344 (46.101)
